player_id,balls_bowled,runs_conceded,wickets,overs_bowled,balls_pp,runs_pp,wickets_pp,balls_middle,runs_middle,wickets_middle,balls_death,runs_death,wickets_death,pace_count,spin_count,eco_overall,eco_pp,eco_middle,eco_death,sr_overall,wk_rate,pct_pace
305,249,252,0,41.3,44,58,0,177,165,0,28,29,0,0,249,6.072289156626505,7.909090909090908,5.59322033898305,6.214285714285715,0,0.0,0.0
4900,249,330,0,41.3,25,46,0,181,241,0,43,43,0,0,249,7.951807228915663,11.040000000000001,7.988950276243094,6.0,0,0.0,0.0
2417,271,281,0,45.1,99,105,0,166,167,0,6,9,0,0,271,6.22140221402214,6.363636363636363,6.0361445783132535,9.0,0,0.0,0.0
2261,501,694,0,83.3,61,80,0,225,264,0,215,350,0,501,0,8.311377245508982,7.868852459016393,7.04,9.767441860465116,0,0.0,1.0
3644,474,482,0,79.0,12,13,0,411,417,0,51,52,0,0,474,6.101265822784811,6.5,6.087591240875913,6.117647058823529,0,0.0,0.0
3330,834,1044,0,139.0,345,434,0,358,415,0,131,195,0,834,0,7.510791366906474,7.547826086956522,6.955307262569833,8.931297709923664,0,0.0,1.0
2334,119,163,0,19.5,18,21,0,55,61,0,46,81,0,119,0,8.218487394957982,7.0,6.654545454545454,10.565217391304348,0,0.0,1.0
2633,276,344,0,46.0,65,80,0,115,125,0,96,139,0,276,0,7.478260869565217,7.384615384615385,6.521739130434782,8.6875,0,0.0,1.0
6464,1061,1380,0,176.5,567,684,0,86,124,0,408,572,0,1061,0,7.803958529688973,7.238095238095237,8.651162790697674,8.411764705882351,0,0.0,1.0
3275,192,270,0,32.0,87,143,0,56,79,0,49,48,0,192,0,8.4375,9.862068965517242,8.464285714285715,5.877551020408163,0,0.0,1.0
4641,76,119,0,12.4,35,38,0,13,25,0,28,56,0,76,0,9.394736842105264,6.514285714285714,11.538461538461538,12.0,0,0.0,1.0
4489,76,155,0,12.4,19,48,0,25,57,0,32,50,0,76,0,12.236842105263158,15.157894736842104,13.68,9.375,0,0.0,1.0
2876,993,1146,0,165.3,248,313,0,639,718,0,106,115,0,0,993,6.924471299093655,7.572580645161291,6.741784037558686,6.5094339622641515,0,0.0,0.0
479,104,130,0,17.2,0,0,0,90,113,0,14,17,0,0,104,7.5,0.0,7.533333333333333,7.285714285714285,0,0.0,0.0
19316,185,263,0,30.5,81,112,0,54,83,0,50,68,0,0,185,8.529729729729729,8.296296296296296,9.222222222222221,8.16,0,0.0,0.0
7920,225,293,0,37.3,85,116,0,54,64,0,86,113,0,225,0,7.813333333333333,8.188235294117646,7.111111111111111,7.883720930232558,0,0.0,1.0
1612,635,809,0,105.5,111,142,0,465,569,0,59,98,0,0,635,7.644094488188976,7.675675675675675,7.341935483870968,9.966101694915254,0,0.0,0.0
830,97,135,0,16.1,66,83,0,18,31,0,13,21,0,97,0,8.350515463917525,7.545454545454545,10.333333333333334,9.692307692307693,0,0.0,1.0
3653,417,594,0,69.3,181,204,0,114,165,0,122,225,0,417,0,8.546762589928058,6.762430939226519,8.68421052631579,11.065573770491802,0,0.0,1.0
4409,33,41,0,5.3,13,15,0,13,16,0,7,10,0,33,0,7.454545454545455,6.9230769230769225,7.384615384615385,8.571428571428571,0,0.0,1.0
7503,738,875,0,123.0,123,156,0,504,561,0,111,158,0,0,738,7.1138211382113825,7.609756097560975,6.678571428571429,8.54054054054054,0,0.0,0.0
5892,37,78,0,6.1,6,14,0,12,24,0,19,40,0,37,0,12.648648648648647,14.0,12.0,12.631578947368421,0,0.0,1.0
1813,259,376,0,43.1,151,205,0,48,80,0,60,91,0,259,0,8.71042471042471,8.14569536423841,10.0,9.1,0,0.0,1.0
4460,39,56,0,6.3,0,0,0,39,56,0,0,0,0,0,39,8.615384615384615,0.0,8.615384615384615,0.0,0,0.0,0.0
7689,123,191,0,20.3,67,78,0,25,53,0,31,60,0,123,0,9.317073170731707,6.985074626865671,12.72,11.612903225806452,0,0.0,1.0
3298,124,202,0,20.4,81,131,0,19,18,0,24,53,0,124,0,9.774193548387098,9.703703703703704,5.684210526315789,13.25,0,0.0,1.0
4201,48,77,0,8.0,24,19,0,6,14,0,18,44,0,48,0,9.625,4.75,14.0,14.666666666666668,0,0.0,1.0
19781,7,12,0,1.1,0,0,0,7,12,0,0,0,0,7,0,10.285714285714285,0.0,10.285714285714285,0.0,0,0.0,1.0
47,6,6,0,1.0,0,0,0,0,0,0,6,6,0,6,0,6.0,0.0,0.0,6.0,0,0.0,1.0
1596,39,77,0,6.3,24,49,0,7,10,0,8,18,0,0,39,11.846153846153847,12.25,8.571428571428571,13.5,0,0.0,0.0
6160,203,288,0,33.5,51,64,0,126,175,0,26,49,0,203,0,8.51231527093596,7.529411764705882,8.333333333333332,11.307692307692307,0,0.0,1.0
