player_id,balls,runs,fours,sixes,dismissals,innings_count,balls_powerplay,runs_powerplay,balls_middle_bat,runs_middle_bat,balls_death_bat,runs_death_bat,sr_overall_bat,sr_powerplay,sr_middle,sr_death,boundary_pct_overall,not_out_rate,balls_bowled,runs_conceded,wickets,overs_bowled,balls_pp,runs_pp,wickets_pp,balls_middle_bowl,runs_middle_bowl,wickets_middle,balls_death_bowl,runs_death_bowl,wickets_death,pace_count,spin_count,eco_overall,eco_pp,eco_middle,eco_death,sr_overall_bowl,wk_rate,pct_pace,player_name,bowling_type,batting_type,wicket_keeper,date_of_birth,striker_name,batting_impact_score,bowler_name,bowling_impact_score,pct_death_balls_bat,pct_death_balls_bowl,batting_role,bowling_role,combined_impact
2534,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Rahmat Shah,Right-arm Leg-Break,Right-hand bat,0,06/07/93,,,,,0.0,0.0,Batter,MiddleOvers,
2633,36.0,25.0,0.0,0.0,0.0,8.0,7.0,0.0,17.0,17.0,12.0,8.0,69.44444444444444,0.0,100.0,66.66666666666666,0.0,1.0,276.0,344.0,0.0,46.0,65.0,80.0,0.0,115.0,125.0,0.0,96.0,139.0,0.0,276.0,0.0,7.478260869565217,7.384615384615385,6.521739130434782,8.6875,0.0,0.0,1.0,Jason Holder,Right-arm medium-fast,Right-hand bat,0,05/11/91,,,,,0.0,0.0,Batter,MiddleOvers,
2636,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.0,0.0,25.0,0.0,1.0,111.0,171.0,0.0,18.3,30.0,41.0,0.0,69.0,114.0,0.0,12.0,16.0,0.0,0.0,111.0,9.243243243243244,8.2,9.91304347826087,8.0,0.0,0.0,0.0,Adam Zampa,Right-arm Leg-Break,Right-hand bat,0,31/03/92,,,,,0.0,0.0,Batter,Powerplay,
2639,118.0,156.0,0.0,0.0,0.0,6.0,1.0,0.0,88.0,111.0,29.0,45.0,132.20338983050848,0.0,126.13636363636364,155.17241379310346,0.0,1.0,109.0,153.0,0.0,18.1,25.0,40.0,0.0,52.0,64.0,0.0,32.0,49.0,0.0,109.0,0.0,8.422018348623853,9.600000000000001,7.384615384615385,9.1875,0.0,0.0,1.0,Marcus Stoinis,Right-arm medium,Right-hand bat,0,16/08/89,,,,,0.0,0.0,Batter,MiddleOvers,
2643,,,,,,,,,,,,,,,,,,,19.0,33.0,0.0,3.1,0.0,0.0,0.0,19.0,33.0,0.0,0.0,0.0,0.0,0.0,19.0,10.421052631578949,0.0,10.421052631578949,0.0,0.0,0.0,0.0,Todd Astle,Right-arm Leg-Break,Right-hand bat,0,24/09/86,,,,,0.0,0.0,Batter,Spin,
26519,38.0,22.0,0.0,0.0,0.0,3.0,26.0,12.0,10.0,8.0,2.0,2.0,57.89473684210527,46.15384615384615,80.0,100.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Janith Liyanage,Right-arm fast-medium,Right-hand bat,0,11/07/95,,,,,0.0,0.0,Batter,MiddleOvers,
2661,29.0,33.0,0.0,0.0,0.0,2.0,29.0,33.0,0.0,0.0,0.0,0.0,113.79310344827587,113.79310344827587,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Shamarh Brooks,Right-arm Leg-Break,Right-hand bat,0,01/10/88,,,,,0.0,0.0,Batter,MiddleOvers,
26646,7.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,3.0,0.0,0.0,42.857142857142854,0.0,60.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Rahul Chopra,Right-arm medium,Right-hand bat,0,07/11/94,,,,,0.0,0.0,Batter,MiddleOvers,
2671,39.0,60.0,0.0,0.0,0.0,3.0,23.0,40.0,16.0,20.0,0.0,0.0,153.84615384615387,173.91304347826087,125.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Liton Das,,Right-hand bat,1,13/10/94,,,,,0.0,0.0,Batter,MiddleOvers,
2681,21.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,7.0,16.0,10.0,80.95238095238095,0.0,140.0,62.5,0.0,1.0,68.0,108.0,0.0,11.2,36.0,61.0,0.0,18.0,31.0,0.0,14.0,16.0,0.0,68.0,0.0,9.529411764705882,10.166666666666666,10.333333333333334,6.857142857142857,0.0,0.0,1.0,Taskin Ahmed,Right-arm Fast,Left-hand bat,0,03/04/95,,,,,0.0,0.0,Batter,Powerplay,
2687,19.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,16.0,0.0,0.0,84.21052631578947,0.0,84.21052631578947,0.0,0.0,1.0,124.0,111.0,0.0,20.4,12.0,7.0,0.0,112.0,104.0,0.0,0.0,0.0,0.0,0.0,124.0,5.370967741935484,3.5,5.571428571428571,0.0,0.0,0.0,0.0,Roston Chase,Right-arm offbreak,Right-hand bat,0,22/03/92,,,,,0.0,0.0,Batter,Spin,
26988,5.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,12.0,240.0,0.0,0.0,240.0,0.0,1.0,25.0,32.0,0.0,4.1,6.0,11.0,0.0,6.0,3.0,0.0,13.0,18.0,0.0,25.0,0.0,7.68,11.0,3.0,8.307692307692307,0.0,0.0,1.0,Jitenkumar Ramanandi,Left-arm medium-fast,Left-hand bat,0,14/09/94,,,,,0.0,0.0,Batter,MiddleOvers,
27071,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,50.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Vinayak Shukla,Right-arm medium,Right-hand bat,0,18/06/94,,,,,0.0,0.0,Batter,MiddleOvers,
27137,34.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,28.0,14.0,23.0,150.0,0.0,140.0,164.28571428571428,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Hammad Mirza,Right-arm medium,Right-hand bat,1,11/05/98,,,,,0.0,0.0,Batter,MiddleOvers,
27364,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,1.0,3.0,6.0,0.0,0.3,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,Simranjeet Kang,Slow left-arm orthodox,Right-hand bat,0,21/07/96,,,,,0.0,0.0,Batter,Powerplay,
27380,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Harshit Kaushik,Slow left-arm orthodox,Left-hand bat,0,19/09/96,,,,,0.0,0.0,Batter,MiddleOvers,
274,94.0,152.0,0.0,0.0,0.0,3.0,43.0,72.0,42.0,64.0,9.0,16.0,161.70212765957444,167.4418604651163,152.38095238095238,177.77777777777777,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Martin Guptill,Right-arm offbreak,Right-hand bat,0,30/09/86,,,,,0.0,0.0,Batter,MiddleOvers,
