player_id,player_name,role_for_score,SelectionScore,career_batting_runs,career_bat_avg_safe,career_bat_sr_safe,career_bowling_wickets,career_bow_econ_safe,venue_fit_score,runs_slope,wk_slope,career_matches_played
20819,Akhil Scaria,finishing allrounder,0.9171489995162476,604,604,123.77049180327869,71,7.297509829619921,3,20,2,35
20802,Abdul Basith,finishing allrounder,0.9114135503214467,722,722,136.48393194706995,28,7.608695652173913,3,20,1.4999999999999982,45
6452,Harsh Tyagi,batting allrounder,0.90390331,540,540,119.73392461197339,24,7.492822966507177,3,20,2,43
25676,Sajeevan Akhil,finishing allrounder,0.8920882034143943,475,475,110.72261072261072,26,6.824242424242424,3,20,2,33
5680,R Sonu Yadav,finishing allrounder,0.8904135429754799,537,537,129.3975903614458,80,6.9209039548022595,3,16.2,-0.6,49
4758,Amit Sinha,finishing allrounder,0.8680511354953124,507,507,122.16867469879519,15,5.444839857651245,3,20,2,23
5681,Rajkumar Ravichandran,finishing allrounder,0.8662625361647397,554,554,157.83475783475782,18,7.162055336,3,20,0.29999999999999993,34
2862,Sachin Baby,batting allrounder,0.859415677,1579,1579,146.7472118959108,18,7.415929203539823,3,20,0.6285714285714283,45
6494,Manoj Bhandage,finishing allrounder,0.8515418215613383,603,603,171.3068181818182,35,8.810408921933085,3,-20,1.4999999999999998,43
5769,Codanda Karthik,batting allrounder,0.8435427466429887,552,552,132.37410071942446,49,8.068322981,3,9.799999999999995,-2,36
2790,Praveen Dubey,finishing allrounder,0.8434303516403753,487,487,146.24624624624624,31,7.924324324324324,2.3608371773065784,20,0.9999999999999998,38
6463,Shiva Singh,finishing allrounder,0.8418856212163797,358,358,129.71014492753622,24,6.361809045,3,20,1.1999999999999997,41
2257,Chirag Jani,finishing allrounder,0.8369076957491596,580,580,116.70020120724347,61,7.217948717948718,1.7964968014437954,15.3,2,39
4209,PM Anfal,finishing allrounder,0.8342815227925907,376,376,131.01045296167248,29,6.476394849785407,3,20,-0.5,31
42820,Rohan Damle,batting allrounder,0.8285358841200073,536,536,126.41509433962264,20,7.481481481481482,3,20,-2,33
750,Thisara Perera,finishing allrounder,0.8250114277351716,499,499,149.84984984984985,24,8.085287846481876,3,7.099999999999999,-2,36
20023,Karan Sharma,opener,0.8238315408483357,1495,1495,126.58763759525826,13,6.795698924731183,2.946720067671804,20,1.1,47
31706,Sunny Sandhu,finishing allrounder,0.8236350591969739,444,444,137.88819875776397,33,7.273743016759776,3,4.999999999999996,-1.3,28
19700,Prince Yadav,finishing allrounder,0.8223245610496702,627,627,118.30188679245283,21,7.953810623556582,3,-20,2,34
1600,Benny Howell,finishing allrounder,0.8165555944655118,449,449,138.58024691358025,16,6.9553398058252425,3,11.000000000000007,2,23
40282,Nikhil M,finishing allrounder,0.8097824485488705,376,376,137.22627737226279,31,7.928571428571429,3,20,-1.26E-15,29
