player_id,player_name,career_is_capped,cap_prob_model,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
56825,Goutam Joshi,False,0.40106551552988945,finisher,71.0,,154.34782608695653,0.0,10.285714285714286,,,,5.0,25.9
56826,Kartik Parihar,False,0.41069580406083533,top/middle,46.0,,124.32432432432432,,,124.32432432432432,,,4.0,25.9
56827,Akshay Singh,False,0.42492102388472014,finishing allrounder,5.0,,35.714285714285715,2.0,10.181818181818182,41.666666666666664,-4.999999999999998,-1.9999999999999996,7.0,29.22
56828,Harshvardhan Singh,False,0.4145924992788387,finishing allrounder,4.0,,100.0,6.0,9.842105263157896,100.0,,-3.999999999999999,6.0,25.9
56830,Madhav Tiwari,True,0.5322382488862196,finishing allrounder,207.0,,162.99212598425197,6.0,10.343558282208589,1.4545689302041096,60.999999999999986,-1.9999999999999996,18.0,25.16
56834,Priyanshu Shukla,False,0.4283328067444934,finishing allrounder,21.0,,262.5,11.0,10.5,262.5,,,5.0,25.9
5684,Abhinav Mohan,False,0.45801610429478123,finishing allrounder,2.0,,28.571428571428573,2.0,8.947368421052632,4.231618068683929,0.0,-1.9999999999999996,5.0,30.75
5686,Rajhamany Srinivasan,False,0.466948331916989,top/middle,125.0,,105.04201680672269,,,105.04201680672269,,,7.0,40.19
5687,L Kiran Akash,False,0.4835450349514835,finishing allrounder,26.0,,72.22222222222223,23.0,7.364485981308412,4.065216841513516,-3.7857142857142874,-2.8999999999999995,16.0,
5689,Swaminathan Shankar,False,0.46510601068210405,finishing allrounder,42.0,,107.6923076923077,6.0,6.512820512820513,107.6923076923077,,,9.0,
5690,Shajahan Mohamed,False,0.4688054069077943,finisher,87.0,,90.625,1.0,8.142857142857142,2.5813194985308345,-13.1,,16.0,
5691,Kaushik Gandhi,False,0.5550619704213395,opener,574.0,,111.89083820662768,3.0,7.2,6.866895131932624,-33.99999999999999,0.0,26.0,35.76
