player_id,player_name,career_is_capped,cap_prob_calibrated,cap_prob_calibrated_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope,career_matches_played,career_age_years
1706,Parag Khanapurkar,TRUE,0.36,0.252,finishing allrounder,23,,62.16216216216216,0,7,3.237930818917344,1.4999999999999998,0,9,39.66
1711,Selvam Suresh Kumar,FALSE,0.112,0.0784,finisher,18,,66.66666666666667,0,8.5,1.9441745994387163,,,4,40.69
1712,M Raja,FALSE,0.098930481,0.069251337,finishing allrounder,8,,160,0,7.714285714285714,160,,,1,40.56
172,Shoaib Malik,FALSE,0.45901639344262296,0.32131147540983607,top/middle,392,,133.33333333333334,3,7.787234042553192,5.9258655371959605,-166,,17,43.82
1727,Ankit Sharma,TRUE,1,0.85,finishing allrounder,477,,117.77777777777777,24,6.174228675136116,4.918008825,60.29999999999999,0.5,24,34.6
1733,Priyank Panchal,FALSE,0.125,0.0875,opener,162,,137.28813559322035,,,5.070568468991879,-134,,6,35.63
175,RR Raje,TRUE,0.625,0.4375,finishing allrounder,99,,176.78571428571428,8,9.72972973,5.870672052,42.499999999999986,3.999999999999999,10,39.23
1758,Patrick Cummins,TRUE,1,0.85,finishing allrounder,452,,154.26621160409556,64,8.436893203883495,1.2840030527646782,7.400000000000001,1.5,53,32.55
176,Yogesh Takawale,FALSE,0.039421813,0.027595269,finisher,153,,111.67883211678833,,,111.67883211678833,,,8,41.06
1772,Sheldon Cottrell,TRUE,0.625,0.4375,finishing allrounder,1,,100,17,7.217910447761194,100,,-2,15,36.27
1776,Tanmay Mishra,FALSE,0.098930481,0.069251337,finisher,32,,123.07692307692308,,,4.895508611800998,,,3,38.93
17898,Bilal Sami,TRUE,0.097765363,0.097765363,finishing allrounder,0,,0,13,7.824324324324325,0,,-1,7,21.93
17909,Riaz Hassan,FALSE,0.039421813,0.039421813,finisher,9,,56.25,,,1.0058855909938687,,,5,23.05
17911,Nangeyalia Kharote,FALSE,0.039421813,0.039421813,finishing allrounder,15,,55.55555555555556,0,7.068493150684931,0.6908239055785356,14.999999999999995,0,4,24.59
17937,Zubaid Akbari,TRUE,0.112,0.112,opener,170,,122.3021582733813,0,6,3.784409948249004,-104,,7,25.57
18097,Aditya Singh,FALSE,0.039421813,0.039421813,opener,235,,188,1,19,188,,,4,27.09
1810,Devon Thomas,TRUE,0.45901639344262296,0.32131147540983607,top/middle,49,,98,,,1.4784156418757015,,,8,36.04
18108,Vivek Kumar,FALSE,0.112,0.112,finisher,23,,191.66666666666666,0,23,191.66666666666666,,,2,27.29
1812,Kedar Devdhar,FALSE,0.112,0.0784,opener,123,,124.24242424242425,,,124.24242424242425,,,3,35.95
18120,Vishal Singh,FALSE,0.039421813,0.039421813,finisher,1,,100,,,100,,,3,31.92
1813,Deepak Chahar,TRUE,1,0.85,finishing allrounder,137,,130.47619047619048,71,7.990140845070423,1.3961542480267104,3.1999999999999997,-0.4,67,33.3
18135,Vikash Vishal,FALSE,0.098930481,0.098930481,top/middle,25,,96.15384615384616,,,1.7846166271412685,-8.5,,2,26.8
1814,Ashok Menaria,FALSE,0.112,0.0784,top/middle,190,,119.49685534591195,0,10,6.094442122652815,-120,,8,35.08
18154,Bal Krishna,TRUE,0.36,0.36,finishing allrounder,4,,26.666666666666668,8,6.65,33.333333333333336,,-1,4,26.96
1816,Robin Bist,FALSE,0.039421813,0.027595269,finisher,67,,93.05555555555556,,,1.7010569782140508,,,5,38.07
18161,Bhanu Anand,FALSE,0.098930481,0.098930481,opener,826,,126.88172043010752,,,126.88172043010752,193.99999999999994,,24,
1817,Unmukt Chand,FALSE,0.098930481,0.084090909,top/middle,37,,75.51020408163265,,,1.9285918256102383,,,5,32.67
1827,Amit Yadav,TRUE,0.4,0.27999999999999997,finishing allrounder,9,,128.57142857142858,9,4.866666666666666,128.57142857142858,,,4,36.13
1828,Bhargav Bhatt,FALSE,0.112,0.0784,finishing allrounder,14,,200,8,6.812227074235808,240,-2.5,1.9999999999999996,15,35.54
1829,Shahbaz Nadeem,TRUE,0.8904109589041096,0.6232876712328766,finishing allrounder,27,,81.81818181818181,9,8.522292993630574,1.1304281547839212,0.4999999999999999,-1.5,8,36.29
183,Saurabh Tiwary,TRUE,0.8904109589041096,0.6232876712328766,top/middle,175,,104.16666666666667,,,4.089441656221848,-62.5,,9,35.91
1836,Shuvagoto Hom,FALSE,0.625,0.4375,finishing allrounder,441,,128.94736842105263,16,7.109826589595376,6.927195140566011,-6.5,1.9999999999999996,33,39.04
1842,Lewis Gregory,FALSE,0.097765363,0.083100559,finisher,10,,90.90909091,1,12.5,90.90909091,,,1,33.51
1860,Biplab Samantray,FALSE,0.22535211267605634,0.15774647887323942,batting allrounder,292,,139.71291866028707,21,7.414847161572053,1.761870821602195,39.38461538461539,9.999999999999996,12,36.95
1883,Anup Fulper,FALSE,0.098930481,0.069251337,finisher,38,,126.66666666666667,,,2.7696734778112044,-1,,3,42.07
