player_id,career_matches_played,career_batting_runs,career_batting_innings,career_bat_sr,career_bat_avg,career_bowling_wickets,career_bowling_innings,career_bow_econ,career_bow_sr,m12_matches_played,m12_batting_runs,m12_batting_innings,m12_bat_sr,m24_matches_played,m24_batting_runs,m24_batting_innings,m24_bat_sr
48956,10,2,1,25,,3,6,6.065217391304348,30.666666666666668,,,,,,,,
48957,9,1,1,25,,7,7,6.072289156626506,11.857142857142858,,,,,,,,
48959,8,118,8,112.38095238095238,,,,,,,,,,,,,
4900,86,516,61,118.89400921658986,,122,88,7.675344563552833,16.057377049180328,63,445,49,122.25274725274726,52,307,39,114.1263940520446
49003,17,364,19,149.18032786885246,,,,,,,,,,,,,
4901,7,11,3,183.33333333333334,,5,6,9.870967741935484,24.8,7,11,3,183.33333333333334,3,10,1,250
4902,20,299,20,114.12213740458016,,,,,,16,264,16,119.45701357466064,10,90,10,86.53846153846153
49027,1,20,1,86.95652173913044,,,,,,,,,,,,,
4904,26,426,25,118.66295264623956,,5,12,8.013698630136986,29.2,10,208,9,122.3529411764706,1,10,1,62.5
4908,2,0,1,0,,0,2,12.72,,1,0,1,0,,,,
492,27,583,26,122.73684210526316,,0,1,5,,25,583,24,124.83940042826552,21,549,21,126.20689655172414
4926,43,418,25,132.6984126984127,,34,39,7.539823008849558,23.264705882352942,35,305,19,132.6086956521739,28,239,14,125.78947368421052
49265,2,0,2,0,,,,,,,,,,,,,
49268,3,76,3,111.76470588235294,,,,,,,,,,,,,
49343,3,34,3,89.47368421052632,,2,3,7.565217391304348,34.5,,,,,,,,
49369,2,7,1,50,,,,,,1,7,1,50,,,,
494,42,591,37,121.85567010309278,,15,24,6.918918918918919,22.2,42,591,37,121.85567010309278,42,591,37,121.85567010309278
4947,6,15,3,136.36363636363637,,4,6,8.014925373134329,33.5,6,15,3,136.36363636363637,5,15,3,136.36363636363637
496,16,461,16,120.36553524804178,,1,3,9.677419355,31,16,461,16,120.36553524804178,16,461,16,120.36553524804178
49626,8,170,8,140.49586776859505,,2,4,6.9818181818181815,27.5,,,,,,,,
49665,5,1,1,50,,2,4,10.772727272727273,22,5,1,1,50,,,,
49666,3,3,2,33.333333333333336,,,,,,3,3,2,33.333333333333336,,,,
49670,18,408,17,179.73568281938327,,,,,,9,221,8,176.8,,,,
