player_id,player_name,career_is_capped,cap_prob_gb,cap_prob_gb_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,career_matches_played,career_age_years,venue_fit_score,runs_slope,wk_slope
43269,Ashutosh Bahuguna,False,1.5955530333267175e-05,1.5955530333267175e-05,opener,30.0,,111.11111111111111,,,2.0,26.29,111.11111111111111,,
43270,Sayyam Arora,False,0.013942106778342428,0.013942106778342428,top/middle,41.0,,110.8108108108108,,,4.0,27.89,110.8108108108108,-16.999999999999996,
43271,Prabhakar Nainwal,False,0.007252535132803515,0.007252535132803515,top/middle,106.0,,145.2054794520548,,,3.0,31.74,145.2054794520548,,
43272,Harshit Paliwal,True,0.9843422646558554,0.9843422646558554,finisher,150.0,,156.25,,,8.0,24.93,4.676389351079787,52.99999999999999,
43273,Ajay Neg,False,0.00040143834294884104,0.00040143834294884104,finishing allrounder,27.0,,117.3913043478261,4.0,6.6976744186046515,2.0,24.93,117.3913043478261,,
43275,Pankaj Kandari,False,0.0015141206225240203,0.0015141206225240203,finisher,7.0,,100.0,1.0,7.2631578947368425,1.0,22.34,100.0,,
43276,Nikhil Pundir,True,0.9978993046437095,0.9978993046437095,finishing allrounder,21.0,,110.52631578947368,21.0,7.644787644787645,14.0,29.21,1.9052498743380277,-9.42055475210265e-16,-2.3551386880256624e-16
43277,Manish Gaur,False,0.09793964097407049,0.09793964097407049,top/middle,104.0,,106.12244897959184,,,6.0,26.14,10.540221130053569,-22.999999999999993,
43278,Piyush Singh,False,0.20245629093564238,0.20245629093564238,finishing allrounder,1.0,,25.0,3.0,10.054054054054054,3.0,30.05,0.687656906711917,0.9999999999999998,0.9999999999999998
43279,Aarush Melkhani,True,0.9999798718013675,0.9999798718013675,finishing allrounder,104.0,,200.0,1.0,7.7727272727272725,9.0,,6.4118153930956066,12.999999999999993,0.4999999999999999
43280,Ayush Devrani,False,0.0015234729017106125,0.0015234729017106125,finishing allrounder,0.0,,0.0,0.0,12.0,2.0,24.03,0.0,,
43281,Manas Mehra,False,7.583373788704677e-05,7.583373788704677e-05,top/middle,12.0,,100.0,,,2.0,23.8,100.0,,
