player_id,SelectionScore,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,venue_fit_score,runs_slope,wk_slope
20023,0.4241132621062346,1495,0,126.58763759525826,13,6.795698924731183,2.946720067671804,91.09999999999997,1.1
20298,0.42406308,112,0,186.66666666666663,24,6.652173913043479,186.66666666666663,0,2.884615384615385
27970,0.4234685298036222,92,0,148.38709677419354,32,8.139534884,1.111312493331982,13.999999999999996,13.999999999999996
5769,0.42126868405350454,552,0,132.37410071942446,49,8.068322981,4.555410796744522,9.799999999999995,-2.5
20802,0.42078088315887374,722,0,136.48393194706995,28,7.608695652173913,5.669537108637021,80.39999999999998,1.4999999999999982
4256,0.4197870256373836,2,0,66.66666666666667,48,7.487922705,66.66666666666667,0,4.457142857142856
5638,0.4185449836174249,13,0,118.1818181818182,48,7.618915159944367,0.572771488,2,1
56185,0.4154979424076755,86,0,102.38095238095238,52,7.6,100,2,-6
4274,0.41518233263341964,60,0,166.66666666666666,36,8.436734694,3.458557967116568,15.214285714285712,7.071428571428572
68369,0.4146386307311028,4,0,400,1,9,400,0,0
2790,0.4140743085522392,487,0,146.24624624624624,31,7.924324324324324,2.3608371773065784,42.68571428571428,0.9999999999999998
45959,0.41357214219330857,12,0,240,12,6,240,0,0
42867,0.4130082420709884,119,0,152.56410256410257,26,8.140776699029127,152.56410256410257,27.999999999999982,3.499999999999999
33058,0.41172349572625483,17,0,121.42857142857144,37,8.25,121.42857142857144,-15,2.5
45976,0.41078593755852705,5,0,250,16,9.311827956989248,250,0,-3.14E-16
5670,0.4103039286270287,35,0,92.10526315789474,47,7.181434599156118,1.7832308262149208,0.8000000000000007,0.5
56391,0.40975891456438773,31,0,182.35294117647055,15,7.0144927536231885,182.35294117647055,0,8.999999999999996
7696,0.40738382074919294,101,0,116.0919540229885,43,7.679706601466993,1.505618134511825,6.300000000000001,1.1
27971,0.4071344082440146,435,0,138.53503184713375,35,6.949494949,138.53503184713375,-66,-4
6054,0.4041320961279826,71,0,142,39,7.057591623036649,3.4511036133619686,16.499999999999993,1.4999999999999982
7130,0.4039648150769764,11,0,68.75,49,7.526530612244898,24.15444007313456,0.1,-0.7
46071,0.40276967162329613,18,0,225,3,2.25,225,0,0
45966,0.40253049143461944,655,0,135.3305785123967,22,7.080260303687636,1.1391532377758866,82.99999999999999,-1
56834,0.4022937835605122,21,0,262.5,11,10.5,262.5,0,0
63070,0.4019967590617614,7,0,233.33333333333331,7,7.081967213114754,233.33333333333331,0,0
42840,0.4009761438836009,7,0,70,29,7.924752475247525,100,4.999999999999998,18.99999999999999
7726,0.4008250115632874,9,0,50,49,6.832957110609481,0.7620248737061845,6.999999999999998,0.3999999999999998
24267,0.39861883762958955,59,0,173.52941176470588,36,6.1450777202072535,12.81517308309508,9.999999999999996,-2.5
34967,0.3953681678247172,227,0,158.74125874125875,30,8.501457725947521,1.4211158090932952,15.099999999999996,6.1999999999999975
19998,0.39523799259064724,161,0,145.04504504504504,33,7.686832740213523,0.976119027,-6.5,2.4999999999999987
42844,0.3947502123880719,171,0,166.01941747572815,15,8.25,60,158.99999999999994,8.999999999999996
6684,0.3947144157686606,72,0,130.9090909090909,35,7.502407704654896,0.8648513100391924,5.499999999999994,2.542857142857142
4758,0.3940670807785666,507,0,122.1686746987952,15,5.444839857651245,24.16286029382949,118.99999999999994,10.999999999999998
24358,0.39358631053365867,70,0,129.62962962962962,37,6.834782608695652,2.354895423323165,-12,6.499999999999998
4077,0.3932485251704337,1489,0,128.4728213977567,1,8,3.4699889062230422,7.300000000000003,0
1512,0.3930895681814808,26,0,81.25,42,7.166858457997699,0.8729160516189728,0.2,1.2000000000000006
5650,0.3926721927181532,446,0,129.2753623188406,32,8.990066225165563,6.285197510096162,-2,-1
42881,0.39267212920558764,5,0,166.66666666666666,26,8.442148760330578,166.66666666666666,-5,-2
45979,0.3925930141156807,102,0,122.89156626506023,38,7.287630402384501,3.924335439123752,19.5,-3.5
31706,0.39246205008721236,444,0,137.88819875776397,33,7.273743016759776,3.0168253514918697,4.999999999999996,-1.3
43965,0.3923820868689973,88,0,146.66666666666666,38,6.993031358885017,146.66666666666666,-6.5,-10.5
58172,0.3923055781940998,44,0,141.93548387096774,19,7.080745341614906,141.93548387096774,-14,8.999999999999996
34971,0.3915053352609114,7,0,233.33333333333331,2,5.333333333333333,233.33333333333331,0,0
4209,0.39147039438717934,376,0,131.01045296167248,29,6.476394849785407,23.15475970981884,58.49999999999997,-0.5
45962,0.39145592417885017,11,0,122.22222222222224,32,7.43,2.7696734778112044,-1.5,5.999999999999999
40282,0.39139769459314233,376,0,137.2262773722628,31,7.928571428571429,12.671819919687689,22.5,-1.26E-15
42670,0.39131186,20,0,153.84615384615384,16,6.379310344827586,153.84615384615384,-16,5.999999999999999
19985,0.39079414906443904,56,0,151.35135135135135,14,8.893401015228426,151.35135135135135,19.999999999999996,13.999999999999996
1828,0.3904693225407871,14,0,200,8,6.812227074235808,240,-2.5,2
5621,0.39040843276813286,29,0,76.31578947,40,6.453441295546559,1.4667617430007092,-2.257142857,0.2000000000000001
67419,0.3901266875366856,5,0,250,0,7.578947368421052,250,0,0
19401,0.3900856998466965,48,0,165.51724137931035,17,6.203883495145631,165.51724137931035,0,0
6351,0.38960577741984465,22,0,115.78947368421052,28,6.552631578947368,23.239816808147523,-2,6.499999999999998
31203,0.3893936769326827,424,0,141.33333333333334,21,6.898876404494382,141.33333333333334,70.99999999999999,-0.5
7295,0.38888043692082347,77,0,202.6315789473684,23,6.966292134831461,1.589013689521174,-10.85714286,0.9428571428571426
56615,0.3888703597718293,359,0,143.6,21,8.419354838709678,7.086490724373083,224.99999999999997,4.999999999999998
36328,0.38822481018552907,64,0,177.77777777777777,16,7.819148936170213,66.66666666666667,55.99999999999999,11.999999999999998
58422,0.38819882001254113,15,0,107.14285714285714,33,7.623059866962306,107.14285714285714,-13,8.999999999999996
